Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
Example of General Task,"# General task

Describe what should be done?

1. Update issue topic according description
2. ..
3. ..

**Who should work for this?**


**Checklist as a starter**

- [ ] Do X
- [ ] Do Y",11,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/11,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:21:44,,Backlog,,task::general,0,0,,
Example of Feature Proposal,"# Feature proposal / Enhancement

(Summarize the feature / enhancemen proposal)




## What is the current need for feature/enhancement?



## Who are stakeholders


## Relevant links and/or screenshots

(Paste any relevant links)",12,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/12,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:34:08,,Backlog,,feature::proposal,0,0,,
BUG2000 - No confirmation email is received in the registered email inbox. The user remains unverified. - EXAMPLE,"## Summary

During the testing of the user registration process, I encountered an issue where new users are unable to receive a confirmation email after registering. This prevents them from completing the registration process and logging into the system.

**Steps to reproduce**

1. Go to the registration page.
1. Fill out the registration form with valid information.
1. Click the ""Register"" button.

**What is the current bug behavior?**


1. No confirmation email is received in the registered email inbox. The user remains unverified.

**What is the expected correct behavior?**

1. After successful registration, a confirmation email should be sent to the user's registered email address.

**Relevant logs and/or screenshots**

1. This issue was replicated on both the development and staging environments.
I have verified that the email address provided during registration is correct.
Other email notifications from the system (e.g., password reset emails) appear to be working as expected.


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",13,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/13,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:26:02,,Backlog,,bug::new,0,0,,
US1000- Updating User Profile Description - EXAMPLE,"# Description:

As a user, I want to update my profile description so that I can share more information about myself with other users.

It is possible to navigate back to the profile view from the editing view without saving changes.

This user story describes a situation where a user wants to update their profile description in a web application. The acceptance criteria clearly define what functionalities need to be implemented and what is expected to happen for the user story to be considered complete and accepted.

## Linked Requirements & Use Cases? 

* [FuncRequirement001 - It is possible to navigate back to the profile view from the editing view without saving changes]()
* [Link to Use Case]()
* [Link to other material]

## Definition of Done

[Link to common definition of done description](https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-2021-ttc2070-core-template-v1/-/blob/master/dokumentit/10-Projektihallinta/definition_of_done.md)

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

Acceptance Criteria:

- [ ] The user can log in to their account.
- [ ] The user is directed to the profile editing view.
- [ ] The user can see their current description in a text field.
- [ ] The user can freely write and edit the description.
- [ ] A character limit is displayed during description editing, and the limit must not be exceeded.
- [ ] The user can save the changes made.
- [ ] After saving, the updated description is displayed on the user's public profile.
- [ ] The user receives a confirmation notification of a successful description update.
- [ ] In case the save fails due to a technical error, an error message is displayed, and the user is given the option to retry.",14,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/14,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:18:59,,Backlog,,user story::proposed,0,0,,
Example of Enhancement Request-  User Activity Tracking,"#  Enhancement/ Feature proposal (template)

The customer works in the field of human resource management and regularly uses our software product for personnel management. The customer's organization has identified a need for more precise tracking of employees' activity and productivity.


## What is the current need for feature/enhancement?

The customer proposes a new feature that would enable tracking of user activity within the software. This could include the following components:

1. Activity Measurement: The software could collect data on how long each employee is logged into the system daily, how many tasks they complete, and how much time they spend on different functions within the software.

1. Reporting and Visualization: The software would provide reporting tools allowing the organization to review user activity data. This could include daily, weekly, and monthly reports, as well as graphical visualizations.

1. Alerts: Users could set alerts that trigger if, for instance, specific activity targets are not met. Such alerts could help the organization respond promptly to any deviations.


The customer's proposed development idea could bring significant added value to our software product and its users, helping the organization improve its performance and resource management. The development team should now assess the technical feasibility of the proposal and prioritize it as needed within the product development roadmap.

## Who are stakeholders

1. The customer has expressed a need to closely monitor employee activity in their work. This could provide added value to the organization, allowing it to ensure resources are utilized efficiently and that specific functions are neither underutilized nor overutilized.

## Relevant links and/or screenshots

(Paste any relevant links)",15,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/15,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:34:08,,Backlog,,feature::proposal,0,0,,
Example of Test Case: Verify login with wrong password,"### Test case ID : TCID1234

* Test case designer: *name*
* Date of creation : 26.0x.20xx

### Update history

* version 0.1 - 26.0x.20xx - Narsuman - test case created

### Test case description

What are we testing?

### Source for the test

What is the test based on? List any relevant features or requirements here.

* [E.g. Use Case](https://github.com/JAMK-IT/TTOS0100-Ohjelmistosuunnittelu-ja-testaus/blob/master/pohja-kayttotapauskuvaus.md)
* [E.g. Feature](https://github.com/JAMK-IT/TTOS0100-Ohjelmistosuunnittelu-ja-testaus/blob/master/pohja-ominaisuuskuvaus.md)

### Pre-state:

* What should be ready before running the test?

### Test Steps

Step and expected result

1. Step
1. Step
1. Step
1. Step
1. Step
1. Step
1. Step
1. Step

### To be taken into account during test

* notion 1

### PASS/FAIL Criteria

* PASS:
* FAIL:",16,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/16,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:35,2025-03-20 14:28:18,,,,Test Case::Idea,0,0,,
Example of Risk Issue,"# Risk Example: Unrealistic Project Deadlines

## Description
The project timeline may be too aggressive, leading to rushed development and potential quality issues.
This risk is common in software development projects, especially when the scope of the project is not well defined or understood. It's important to manage this risk effectively to ensure the successful delivery of the project.


## Category
Project Management

## Probability
High

## Impact
If the project is rushed to meet unrealistic deadlines, it could lead to bugs in the software, poor user experience, and ultimately, damage to the company's reputation.

## Mitigation Strategy
- Regularly review and update the project schedule.
- Ensure that project timelines are realistic and take into account potential delays.
- Implement agile methodologies to allow for flexibility in development.

## Owner
Project Manager

## Status
Identified",17,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/17,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:36,2025-03-20 14:33:54,,Backlog,,risk::new,0,0,,
US103 As a tester I would like to be able test our service using Robot Framework,"# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/41)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",18,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/18,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:36,2025-03-20 14:18:59,,Backlog,,user story::proposed,0,0,,
US103: Robot framework testing,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Makes sure test automation cases work

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA067/)

**Test pre-state**

* All of the above functionalities are set up

**Test steps**

1. Have a broken feature
2. Run Robot Framework code
3. Expect test to report back

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * Robot Framework is in use
  * It works
* FAIL condition:
  * Robot Framework code fails due to failed implementation",19,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/19,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:36,2025-03-20 14:18:59,,,,user story::proposed,0,0,,
"US123 As a test engineer I want to automate checking that all product pages load properly, so that customers can browse products without errors","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/41)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",20,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/20,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:36,2025-03-20 14:18:59,,Backlog,,user story::proposed,0,0,,
US123: Check that all products load,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Makes sure test automation cases work

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA067/)

**Test pre-state**

* All of the above functionalities are set up

**Test steps**

1. Make a robot framework script to load all products
2. Expect the test to pass

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * Robot Framework test passes
* FAIL condition:
  * Robot Framework test fails",21,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/21,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:36,2025-03-20 14:19:00,,,,user story::proposed,0,0,,
"US114 As a store owner, I want the system to be tested after bug fixes, so that my customers do not experience new issues after an update","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/40)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",22,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/22,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:37,2025-03-20 14:19:00,,Backlog,,user story::proposed,0,0,,
